driver_id,lap_number,lap_time,sector1_time,sector2_time,sector3_time,PitInTime,PitOutTime,grid_position,finish_position,conditions,temperature,humidity,tracktemperature,season,race_round,grand_prix
33,50.0,67.844,17.14,30.14,20.564,,,2.0,1.0,,,18.8,,2019,9,austrian_grand_prix
33,51.0,68.236,17.246,30.379,20.611,,,2.0,1.0,,,18.8,,2019,9,austrian_grand_prix
33,52.0,68.413,17.294,30.468,20.651,,,2.0,1.0,,,18.8,,2019,9,austrian_grand_prix
33,53.0,68.474,17.268,30.587,20.619,,,2.0,1.0,,,18.8,,2019,9,austrian_grand_prix
33,54.0,68.283,17.295,30.363,20.625,,,2.0,1.0,,,18.8,,2019,9,austrian_grand_prix
33,55.0,69.005,17.593,30.835,20.577,,,2.0,1.0,,,18.8,,2019,9,austrian_grand_prix
33,56.0,67.93,16.998,30.293,20.639,,,2.0,1.0,,,18.8,,2019,9,austrian_grand_prix
33,57.0,68.279,17.253,30.39,20.636,,,2.0,1.0,,,18.8,,2019,9,austrian_grand_prix
33,58.0,67.766,17.177,30.141,20.448,,,2.0,1.0,,,18.8,,2019,9,austrian_grand_prix
33,59.0,68.079,17.112,30.426,20.541,,,2.0,1.0,,,18.8,,2019,9,austrian_grand_prix
33,60.0,67.475,16.922,30.148,20.405,,,2.0,1.0,,,18.8,,2019,9,austrian_grand_prix
33,61.0,67.75,17.199,30.272,20.279,,,2.0,1.0,,,18.8,,2019,9,austrian_grand_prix
33,62.0,67.784,17.243,30.198,20.343,,,2.0,1.0,,,18.8,,2019,9,austrian_grand_prix
33,63.0,67.874,17.12,30.303,20.451,,,2.0,1.0,,,18.8,,2019,9,austrian_grand_prix
33,64.0,67.592,17.028,30.195,20.369,,,2.0,1.0,,,18.8,,2019,9,austrian_grand_prix
33,65.0,67.605,17.065,30.229,20.311,,,2.0,1.0,,,18.8,,2019,9,austrian_grand_prix
33,66.0,67.911,17.225,30.272,20.414,,,2.0,1.0,,,18.8,,2019,9,austrian_grand_prix
33,67.0,68.981,17.002,31.425,20.554,,,2.0,1.0,,,18.8,,2019,9,austrian_grand_prix
33,68.0,69.276,16.935,31.531,20.81,,,2.0,1.0,,,18.8,,2019,9,austrian_grand_prix
33,69.0,68.176,16.846,30.82,20.51,,,2.0,1.0,,,18.8,,2019,9,austrian_grand_prix
33,70.0,67.944,17.329,30.285,20.33,,,2.0,1.0,,,18.8,,2019,9,austrian_grand_prix
33,71.0,68.019,17.135,30.387,20.497,,,2.0,1.0,,,18.8,,2019,9,austrian_grand_prix
16,1.0,71.551,,30.562,20.943,,,1.0,2.0,,,18.8,,2019,9,austrian_grand_prix
16,2.0,69.282,17.469,30.727,21.086,,,1.0,2.0,,,18.8,,2019,9,austrian_grand_prix
16,3.0,69.407,17.43,30.713,21.264,,,1.0,2.0,,,18.8,,2019,9,austrian_grand_prix
16,4.0,69.318,17.424,30.858,21.036,,,1.0,2.0,,,18.8,,2019,9,austrian_grand_prix
16,5.0,69.54,17.402,31.142,20.996,,,1.0,2.0,,,18.8,,2019,9,austrian_grand_prix
