season,race_round,n,rmse,mae
2024,15,1426.0,0.9331061344998709,0.5443647299689105
2023,22,1157.0,0.9794917126423535,0.5790857570086604
2019,9,1401.0,1.0586798639661144,0.5348579265123524
2024,10,1310.0,1.1244555649560486,0.7197721533687438
2021,5,1418.0,1.1908613311252496,0.6179461729251218
2024,13,1355.0,1.2229361873662832,0.657061784973262
2024,14,840.0,1.2299315829332766,0.7405483452231373
2019,21,1074.0,1.2375270663770808,0.8316889895333923
2020,5,1025.0,1.2645111186800448,0.6800792883589257
2019,12,1358.0,1.2661043334061952,0.6996023634023525
2021,7,1051.0,1.2688185887311767,0.7348564532567475
2023,7,1312.0,1.2914803805808022,0.7200233076312824
2021,16,1146.0,1.2945484527759787,0.7479423187409283
2019,19,1030.0,1.2972540886752892,0.8060279797306172
2024,16,1008.0,1.3512853218362344,0.8915251559662873
2023,12,815.0,1.3516531327313868,0.8959927787475267
2019,7,1310.0,1.3685390754408107,0.6633822398563514
2023,14,948.0,1.4131230736204035,0.6744458453364002
2023,18,1014.0,1.414330779939578,0.6454616723331045
2024,22,938.0,1.4210007252952568,0.8344083091070434
2024,1,1127.0,1.4807651746325898,0.6372011456941604
2023,5,1138.0,1.5093105088456957,0.7025619790112254
2021,13,1361.0,1.559922112400211,0.7606131756195291
2024,7,1237.0,1.565174827795986,0.685152805869127
2022,6,1230.0,1.566626560325157,0.7824190345270584
2023,11,1252.0,1.5698261434604375,0.6838553884623323
2019,17,1004.0,1.602444475122178,0.7998567283548638
2024,18,1176.0,1.6297726856454469,0.7949272078658922
2022,22,1117.0,1.7055036657696128,0.6343909726920182
2019,1,1038.0,1.769671504322273,0.9363180427477342
2022,18,432.0,1.798531967662211,1.0710443707501203
2022,4,1126.0,1.8295110335404514,0.9360574928601801
2020,6,1274.0,1.8319892663348099,0.7725273908909346
2019,8,1036.0,1.8356518609331416,0.8927117044958879
2020,12,1288.0,1.8861721319525904,0.8813529148576489
2021,3,1244.0,1.887573549112613,0.9663374499863648
2019,13,730.0,1.9274301092538146,0.9451405469139003
2022,14,752.0,1.9324452369788372,0.9719190396828573
2021,11,950.0,1.956445564626243,0.8634910792421343
2021,18,1259.0,2.0339368398983257,0.9787409989481362
2024,20,1213.0,2.0417263855962346,0.9386868873933851
2020,3,1326.0,2.0571592882995837,1.0340208819494778
2021,9,1336.0,2.0981050341114837,0.8020601318373658
2022,20,1378.0,2.184322033476546,0.83724638487694
2020,7,703.0,2.192060456502879,1.043844931266892
2019,3,1046.0,2.2056435223062945,0.9686489632587462
2021,10,925.0,2.2391868644106245,0.8881858367872351
2019,18,1369.0,2.250745430756686,1.0017380286608977
2020,10,874.0,2.279788810882638,1.1070583440178563
2024,8,1210.0,2.3146130334904456,0.9506149222045325
