compound,n,rmse,mae
MEDIUM,50451.0,3.235173266243103,1.3014584504908948
HARD,57683.0,3.2603404586538822,1.2594925308284468
INTERMEDIATE,7551.0,3.7239663693480707,1.9308327628818636
SOFT,21893.0,3.903415639240744,1.684947464499445
UNKNOWN,13.0,4.142757537671505,3.0955783461109174
WET,411.0,4.305453305124502,2.59893976319718
