timestamp,speed,engine_rpm,gear,throttle_pct,brake_pressure,drs_active,driver_id,season,grand_prix
0 days 00:00:08.301000,257.7625056,11809.5751616,6,100.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:08.412000,261.0,11903.0,6,100.0,True,1,10,2019,Australian Grand Prix
0 days 00:00:08.601000,255.4874944,11446.249536,6,21.24992,True,1,10,2019,Australian Grand Prix
0 days 00:00:08.652000,254.0,11323.0,6,0.0,True,1,10,2019,Australian Grand Prix
0 days 00:00:08.853000,240.0,10747.0,6,0.0,True,1,10,2019,Australian Grand Prix
0 days 00:00:08.901000,237.0,10598.6,6,0.0,True,1,10,2019,Australian Grand Prix
0 days 00:00:09.093000,225.0,10005.0,6,0.0,True,1,10,2019,Australian Grand Prix
0 days 00:00:09.201000,220.5,10271.85,6,0.0,True,1,10,2019,Australian Grand Prix
0 days 00:00:09.333000,215.0,10598.0,6,0.0,True,1,10,2019,Australian Grand Prix
0 days 00:00:09.500000,203.17084693333334,11235.382600533334,6,0.0,True,1,10,2019,Australian Grand Prix
0 days 00:00:09.573000,198.0,11514.0,5,0.0,True,1,10,2019,Australian Grand Prix
0 days 00:00:09.800000,187.55228991648394,11097.041388485131,5,0.0,True,1,10,2019,Australian Grand Prix
0 days 00:00:09.812000,187.0,11075.0,4,0.0,True,1,10,2019,Australian Grand Prix
0 days 00:00:10.052000,176.0,10554.0,4,0.0,True,1,10,2019,Australian Grand Prix
0 days 00:00:10.100000,174.08955406370956,10788.02962719558,4,0.0,True,1,10,2019,Australian Grand Prix
0 days 00:00:10.253000,168.0,11534.0,4,0.0,True,1,10,2019,Australian Grand Prix
0 days 00:00:10.400000,164.93749866666667,11591.575025066666,4,0.0,True,1,10,2019,Australian Grand Prix
0 days 00:00:10.493000,163.0,11628.0,3,0.0,True,1,10,2019,Australian Grand Prix
0 days 00:00:10.700000,155.2375072,10820.7007488,3,0.0,True,1,10,2019,Australian Grand Prix
0 days 00:00:10.733000,154.0,10692.0,3,0.0,True,1,10,2019,Australian Grand Prix
0 days 00:00:10.973000,142.0,10133.0,3,0.0,True,1,10,2019,Australian Grand Prix
0 days 00:00:11,140.76249706666667,10038.1622752,3,0.0,True,1,10,2019,Australian Grand Prix
0 days 00:00:11.201000,131.55,9332.15,3,0.0,True,1,10,2019,Australian Grand Prix
0 days 00:00:11.213000,131.0,9290.0,3,0.0,True,1,10,2019,Australian Grand Prix
0 days 00:00:11.452000,120.0,10757.0,3,0.0,True,1,10,2019,Australian Grand Prix
0 days 00:00:11.501000,118.29352728180478,10596.347782672765,3,0.0,True,1,10,2019,Australian Grand Prix
0 days 00:00:11.653000,113.0,10098.0,2,0.0,True,1,10,2019,Australian Grand Prix
0 days 00:00:11.801000,109.3,9850.1,2,0.0,True,1,10,2019,Australian Grand Prix
0 days 00:00:11.893000,107.0,9696.0,2,0.0,True,1,10,2019,Australian Grand Prix
0 days 00:00:12.101000,99.57142857142857,8944.228571428572,2,0.0,True,1,10,2019,Australian Grand Prix
0 days 00:00:12.173000,97.0,8684.0,2,0.0,True,1,10,2019,Australian Grand Prix
0 days 00:00:12.401000,91.3,8248.9,2,0.0,True,1,10,2019,Australian Grand Prix
0 days 00:00:12.413000,91.0,8226.0,2,0.0,True,1,10,2019,Australian Grand Prix
0 days 00:00:12.652000,83.0,7208.0,2,0.0,True,1,10,2019,Australian Grand Prix
0 days 00:00:12.701000,81.7749952,7229.029249066667,2,0.0,True,1,10,2019,Australian Grand Prix
0 days 00:00:12.892000,77.0,7311.0,2,0.0,True,1,10,2019,Australian Grand Prix
0 days 00:00:13.001000,77.54228899443041,7395.597083131144,2,10.845779888608266,True,1,10,2019,Australian Grand Prix
0 days 00:00:13.093000,78.0,7467.0,2,20.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:13.301000,78.87029358617727,7107.568748908786,2,2.5941282764545157,False,1,10,2019,Australian Grand Prix
0 days 00:00:13.332000,79.0,7054.0,2,0.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:13.572000,78.0,7510.0,2,27.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:13.601000,78.48333653333333,7597.000576,2,27.845838933333333,False,1,10,2019,Australian Grand Prix
0 days 00:00:13.812000,82.0,8230.0,2,34.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:13.901000,83.48333653333333,8259.666730666666,2,27.695819733333334,False,1,10,2019,Australian Grand Prix
0 days 00:00:14.052000,86.0,8310.0,2,17.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:14.201000,86.74129377946066,8370.044796136313,2,19.223881338382004,False,1,10,2019,Australian Grand Prix
0 days 00:00:14.253000,87.0,8391.0,2,20.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:14.493000,90.0,8555.0,2,20.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:14.501000,90.2,8601.666666666666,2,22.066666666666666,False,1,10,2019,Australian Grand Prix
0 days 00:00:14.733000,96.0,9955.0,2,82.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:14.801000,99.41422868423392,10193.996007896374,2,74.88702357451267,False,1,10,2019,Australian Grand Prix
0 days 00:00:14.972000,108.0,10795.0,2,57.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:15.101000,110.1500032,10829.4000512,2,62.375008,False,1,10,2019,Australian Grand Prix
0 days 00:00:15.212000,112.0,10859.0,2,67.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:15.401000,119.875008,11303.1504512,2,69.3625024,False,1,10,2019,Australian Grand Prix
0 days 00:00:15.452000,122.0,11423.0,2,70.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:15.701000,126.446432,11042.3854208,2,69.1107136,False,1,10,2019,Australian Grand Prix
0 days 00:00:15.732000,127.0,10995.0,2,69.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:15.933000,133.0,10219.0,3,67.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:16.001000,134.98333333333332,10399.483333333334,3,67.56666666666666,False,1,10,2019,Australian Grand Prix
0 days 00:00:16.173000,140.0,10856.0,3,69.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:16.301000,143.73333333333332,11201.6,3,74.86666666666666,False,1,10,2019,Australian Grand Prix
0 days 00:00:16.413000,147.0,11504.0,3,80.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:16.601000,154.05,11694.35,3,76.08333333333333,False,1,10,2019,Australian Grand Prix
0 days 00:00:16.653000,156.0,11747.0,3,75.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:16.892000,163.0,11624.0,3,87.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:16.900000,163.2388057420363,11588.338342522578,3,86.9203980859879,False,1,10,2019,Australian Grand Prix
0 days 00:00:17.093000,169.0,10728.0,4,85.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:17.200000,172.1208352,10956.7126368,4,86.3375008,False,1,10,2019,Australian Grand Prix
0 days 00:00:17.333000,176.0,11241.0,4,88.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:17.500000,183.65415786666668,11520.028845866667,4,96.3499904,False,1,10,2019,Australian Grand Prix
0 days 00:00:17.573000,187.0,11642.0,4,100.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:17.801000,193.65,12003.95,4,100.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:17.813000,194.0,12023.0,4,100.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:18.053000,203.0,10654.0,5,100.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:18.101000,203.6,10721.4,5,100.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:18.293000,206.0,10991.0,5,100.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:18.401000,210.05,11170.1,5,100.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:18.533000,215.0,11389.0,5,100.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:18.701000,221.3,11613.7,5,100.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:18.773000,224.0,11710.0,5,100.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:19.001000,227.8,12112.8,5,100.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:19.013000,228.0,12134.0,5,100.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:19.253000,235.0,11403.0,5,100.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:19.301000,236.00418490712764,11293.343008141663,5,100.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:19.492000,240.0,10857.0,6,100.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:19.601000,241.8091303761285,11049.672385057685,6,100.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:19.733000,244.0,11283.0,6,100.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:19.901000,247.51464717494667,11389.14234468339,6,100.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:19.972000,249.0,11434.0,6,100.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:20.173000,256.0,11668.0,6,100.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:20.201000,256.4686196233262,11682.878673040608,6,100.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:20.412000,260.0,11795.0,6,100.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:20.501000,262.2250048,11691.908110933333,6,100.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:20.652000,266.0,11517.0,6,100.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:20.801000,268.48333653333333,11089.866116266667,6,100.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:20.892000,270.0,10829.0,7,100.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:21.101000,273.48333653333333,11015.358504533333,7,100.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:21.132000,274.0,11043.0,7,100.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:21.333000,277.0,11143.0,7,100.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:21.401000,278.45714285714286,11181.857142857143,7,100.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:21.613000,283.0,11303.0,7,100.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:21.701000,284.8333333333333,11346.633333333333,7,100.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:21.853000,288.0,11422.0,7,100.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:22.001000,289.23333333333335,11486.133333333333,7,100.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:22.093000,290.0,11526.0,7,100.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:22.301000,292.61088075853183,11787.088075853182,7,100.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:22.332000,293.0,11826.0,7,100.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:22.572000,295.0,11943.0,7,94.0,True,1,10,2019,Australian Grand Prix
0 days 00:00:22.601000,292.54724978571164,11808.38729706288,7,80.43773410922911,True,1,10,2019,Australian Grand Prix
0 days 00:00:22.773000,278.0,11010.0,7,0.0,True,1,10,2019,Australian Grand Prix
0 days 00:00:22.901000,271.06666666666666,10705.466666666667,7,10.133333333333333,True,1,10,2019,Australian Grand Prix
0 days 00:00:23.013000,265.0,10439.0,7,19.0,False,1,10,2019,Australian Grand Prix
0 days 00:00:23.201000,261.0833333333333,10445.266666666666,7,41.71666666666666,False,1,10,2019,Australian Grand Prix
0 days 00:00:23.253000,260.0,10447.0,7,48.0,True,1,10,2019,Australian Grand Prix
0 days 00:00:23.493000,247.0,9728.0,7,0.0,True,1,10,2019,Australian Grand Prix
0 days 00:00:23.501000,246.53333333333333,9742.9,7,0.0,True,1,10,2019,Australian Grand Prix
0 days 00:00:23.733000,233.0,10175.0,7,0.0,True,1,10,2019,Australian Grand Prix
