season,grand_prix,driver_id,lap_number,lap_time,sector1_time,sector2_time,sector3_time,position
2019,Australian Grand Prix,10,42.0,89.405,0 days 00:00:30.442000,0 days 00:00:23.745000,0 days 00:00:35.218000,11.0
2019,Australian Grand Prix,10,43.0,88.219,0 days 00:00:29.786000,0 days 00:00:23.484000,0 days 00:00:34.949000,11.0
2019,Australian Grand Prix,10,44.0,87.654,0 days 00:00:29.378000,0 days 00:00:23.405000,0 days 00:00:34.871000,11.0
2019,Australian Grand Prix,10,45.0,87.828,0 days 00:00:29.401000,0 days 00:00:23.341000,0 days 00:00:35.086000,11.0
2019,Australian Grand Prix,10,46.0,87.861,0 days 00:00:29.393000,0 days 00:00:23.407000,0 days 00:00:35.061000,11.0
2019,Australian Grand Prix,10,47.0,88.231,0 days 00:00:29.613000,0 days 00:00:23.583000,0 days 00:00:35.035000,11.0
2019,Australian Grand Prix,10,48.0,88.612,0 days 00:00:29.687000,0 days 00:00:23.775000,0 days 00:00:35.150000,11.0
2019,Australian Grand Prix,10,49.0,88.451,0 days 00:00:29.580000,0 days 00:00:23.708000,0 days 00:00:35.163000,11.0
2019,Australian Grand Prix,10,50.0,91.355,0 days 00:00:30.367000,0 days 00:00:23.941000,0 days 00:00:37.047000,11.0
2019,Australian Grand Prix,10,51.0,88.957,0 days 00:00:29.648000,0 days 00:00:23.606000,0 days 00:00:35.703000,11.0
2019,Australian Grand Prix,10,52.0,88.745,0 days 00:00:30.170000,0 days 00:00:23.616000,0 days 00:00:34.959000,11.0
2019,Australian Grand Prix,10,53.0,88.224,0 days 00:00:29.332000,0 days 00:00:23.423000,0 days 00:00:35.469000,11.0
2019,Australian Grand Prix,10,54.0,87.981,0 days 00:00:29.471000,0 days 00:00:23.579000,0 days 00:00:34.931000,11.0
2019,Australian Grand Prix,10,55.0,88.544,0 days 00:00:29.429000,0 days 00:00:23.285000,0 days 00:00:35.830000,11.0
2019,Australian Grand Prix,10,56.0,89.108,0 days 00:00:29.979000,0 days 00:00:23.913000,0 days 00:00:35.216000,11.0
2019,Australian Grand Prix,10,57.0,88.874,0 days 00:00:29.513000,0 days 00:00:23.868000,0 days 00:00:35.493000,11.0
2019,Australian Grand Prix,11,1.0,102.296,,0 days 00:00:24.950000,0 days 00:00:37.117000,12.0
2019,Australian Grand Prix,11,2.0,91.97,0 days 00:00:30.940000,0 days 00:00:24.182000,0 days 00:00:36.848000,12.0
2019,Australian Grand Prix,11,3.0,91.356,0 days 00:00:30.597000,0 days 00:00:24.319000,0 days 00:00:36.440000,12.0
2019,Australian Grand Prix,11,4.0,91.743,0 days 00:00:30.695000,0 days 00:00:24.348000,0 days 00:00:36.700000,12.0
2019,Australian Grand Prix,11,5.0,91.4,0 days 00:00:30.604000,0 days 00:00:24.238000,0 days 00:00:36.558000,12.0
2019,Australian Grand Prix,11,6.0,91.175,0 days 00:00:30.331000,0 days 00:00:24.280000,0 days 00:00:36.564000,12.0
2019,Australian Grand Prix,11,7.0,91.143,0 days 00:00:30.446000,0 days 00:00:24.224000,0 days 00:00:36.473000,12.0
2019,Australian Grand Prix,11,8.0,91.075,0 days 00:00:30.492000,0 days 00:00:24.157000,0 days 00:00:36.426000,12.0
2019,Australian Grand Prix,11,9.0,91.058,0 days 00:00:30.431000,0 days 00:00:24.178000,0 days 00:00:36.449000,12.0
2019,Australian Grand Prix,11,10.0,90.945,0 days 00:00:30.354000,0 days 00:00:24.035000,0 days 00:00:36.556000,12.0
2019,Australian Grand Prix,11,11.0,90.85,0 days 00:00:30.252000,0 days 00:00:24.045000,0 days 00:00:36.553000,12.0
2019,Australian Grand Prix,11,12.0,91.103,0 days 00:00:30.383000,0 days 00:00:24.185000,0 days 00:00:36.535000,11.0
2019,Australian Grand Prix,11,13.0,110.063,0 days 00:00:30.277000,0 days 00:00:23.949000,0 days 00:00:55.837000,16.0
2019,Australian Grand Prix,11,14.0,94.939,0 days 00:00:35.962000,0 days 00:00:23.484000,0 days 00:00:35.493000,17.0
2019,Australian Grand Prix,11,15.0,89.916,0 days 00:00:30.225000,0 days 00:00:24.091000,0 days 00:00:35.600000,16.0
2019,Australian Grand Prix,11,16.0,89.675,0 days 00:00:29.864000,0 days 00:00:23.869000,0 days 00:00:35.942000,16.0
2019,Australian Grand Prix,11,17.0,90.215,0 days 00:00:30.413000,0 days 00:00:23.849000,0 days 00:00:35.953000,16.0
2019,Australian Grand Prix,11,18.0,89.801,0 days 00:00:30.214000,0 days 00:00:23.811000,0 days 00:00:35.776000,16.0
2019,Australian Grand Prix,11,19.0,89.935,0 days 00:00:30.048000,0 days 00:00:23.802000,0 days 00:00:36.085000,16.0
2019,Australian Grand Prix,11,20.0,90.02,0 days 00:00:30.170000,0 days 00:00:23.830000,0 days 00:00:36.020000,16.0
2019,Australian Grand Prix,11,21.0,89.481,0 days 00:00:29.985000,0 days 00:00:23.720000,0 days 00:00:35.776000,16.0
2019,Australian Grand Prix,11,22.0,90.554,0 days 00:00:30.322000,0 days 00:00:24.218000,0 days 00:00:36.014000,16.0
2019,Australian Grand Prix,11,23.0,90.759,0 days 00:00:30.421000,0 days 00:00:24.190000,0 days 00:00:36.148000,16.0
2019,Australian Grand Prix,11,24.0,90.364,0 days 00:00:30.165000,0 days 00:00:24.138000,0 days 00:00:36.061000,16.0
2019,Australian Grand Prix,11,25.0,90.696,0 days 00:00:30.063000,0 days 00:00:24.242000,0 days 00:00:36.391000,16.0
2019,Australian Grand Prix,11,26.0,91.849,0 days 00:00:30.407000,0 days 00:00:24.700000,0 days 00:00:36.742000,15.0
2019,Australian Grand Prix,11,27.0,89.691,0 days 00:00:30.221000,0 days 00:00:23.885000,0 days 00:00:35.585000,14.0
2019,Australian Grand Prix,11,28.0,89.365,0 days 00:00:29.993000,0 days 00:00:23.651000,0 days 00:00:35.721000,14.0
2019,Australian Grand Prix,11,29.0,89.835,0 days 00:00:30.094000,0 days 00:00:23.856000,0 days 00:00:35.885000,14.0
2019,Australian Grand Prix,11,30.0,89.609,0 days 00:00:29.858000,0 days 00:00:23.843000,0 days 00:00:35.908000,13.0
2019,Australian Grand Prix,11,31.0,89.686,0 days 00:00:30.040000,0 days 00:00:23.966000,0 days 00:00:35.680000,13.0
2019,Australian Grand Prix,11,32.0,89.037,0 days 00:00:29.788000,0 days 00:00:23.595000,0 days 00:00:35.654000,13.0
2019,Australian Grand Prix,11,33.0,89.162,0 days 00:00:29.932000,0 days 00:00:23.730000,0 days 00:00:35.500000,13.0
2019,Australian Grand Prix,11,34.0,89.016,0 days 00:00:29.720000,0 days 00:00:23.836000,0 days 00:00:35.460000,13.0
2019,Australian Grand Prix,11,35.0,89.381,0 days 00:00:30.096000,0 days 00:00:23.834000,0 days 00:00:35.451000,13.0
2019,Australian Grand Prix,11,36.0,88.808,0 days 00:00:29.724000,0 days 00:00:23.666000,0 days 00:00:35.418000,13.0
2019,Australian Grand Prix,11,37.0,89.264,0 days 00:00:30.006000,0 days 00:00:23.859000,0 days 00:00:35.399000,13.0
2019,Australian Grand Prix,11,38.0,91.415,0 days 00:00:31.748000,0 days 00:00:23.993000,0 days 00:00:35.674000,13.0
2019,Australian Grand Prix,11,39.0,89.176,0 days 00:00:29.731000,0 days 00:00:23.840000,0 days 00:00:35.605000,13.0
